Area,Category - Split 1,Name,Price,Hidden Gem,Star,Stars count,Address,Latitude,Longitude
,Coffee & Tea,Buzzed Bear Coffee,$,Hidden Gem,4.5,54,,,
South Lake Union,Tex-Mex,Cactus Restaurants,$$,Other,4,816,"350 Terry Ave N, Seattle, WA 98109",47.6217948,-122.3369462
,Tex-Mex,Cactus Restaurants,$$,Other,4,827,"535 Bellevue Sq, Bellevue, WA 98004",47.6168093,-122.2020167
,Tex-Mex,Cactus Restaurants,$$,Other,4,954,"121 Park Ln, Kirkland, WA 98033",47.6760191,-122.2058054
,Coffee & Tea,Cafe Aroma,$,Other,4,74,"509 NE 165th St, Shoreline, WA 98155",47.7484037,-122.3235106
,Indian,Cafe Bahar,$$,Other,4,150,"11701 124th Ave NE, Kirkland, WA 98034",47.7051834,-122.1764204
Licton Springs,Cafes,Cafe Banh Mi,$,Other,4.5,106,,,
Downtown,French,Café Campagne,$$,Other,4,1153,"1600 Post Aly, Seattle, WA 98101",47.6097561,-122.3415071
,Coffee & Tea,Café del Cielo,$,Other,4,15,"1802 A St SE, Ste 112, Auburn, WA 98002",,
Madison Valley,Vegetarian,Cafe Flora,$$,Other,4,1290,"2901 E Madison St, Seattle, WA 98112",47.6239833,-122.295038
South Lake Union,Scandinavian,Café Hagen,n/a,Other,4,151,"1252 Thomas St, Seattle, WA 98109",47.6211731,-122.3313722
,Taiwanese,Cafe Happy,$,Other,4,195,,,
,Italian,Cafe Juanita,$$$$,Other,4.5,501,"9702 NE 120th Pl, Kirkland, WA 98034",47.707628,-122.2123288
,Bubble Tea,Cafe Kleo,$,Other,4,123,"19720 44th Ave W, Ste K, Lynnwood, WA 98087",47.8198991,-122.2929401
Loyal Heights,Lebanese,Cafe Munir,$$,Other,4,280,,,
,Cafes,Cafe Noir,$$,Other,3.5,241,"33304 Pacific Hwy S, Ste 301, Federal Way, WA 98003",,
,Coffee & Tea,Cafe Opla,$$,Other,4,242,"2200 Alaskan Way, Ste 120, Seattle, WA 98121",47.6110132,-122.3475165
,Organic Stores,Cafe Organique,$$,Other,4,55,,,
,Coffee & Tea,Cafe Remix,$$,Other,3.5,28,,,
Fremont,Halal,Cafe Turko,$$,Other,4.5,1082,"750 N 34th St, Seattle, WA 98103",47.6495961,-122.3480181
,Italian,Cafe Veloce,$$,Other,4,393,"12514 120th Ave NE, Kirkland, WA 98034",47.7114054,-122.178579
,Mexican,California Burrito,$,Other,3.5,275,,,
,Mexican,California Burrito Taco Shop,$,Other,3.5,104,,,
,Japanese,California Monster Sushi,$$,Other,3.5,301,"25620 104th Ave SE, Kent, WA 98030",47.3717458,-122.2007057
,Caribbean,Calypso Edmonds,$$,Other,4.5,145,"109 Main St, Edmonds, WA 98020",47.8122304,-122.3813848
,Pizza,Can Am Pizza,$$,Other,4,140,"23819 104th Ave SE, Kent, WA 98031",47.3882019,-122.2029729
Westlake,American,Canlis,$$$$,Other,4,1524,"2576 Aurora Ave N, Seattle, WA 98109",47.6430996,-122.3467941
,Italian,Cantinetta Bellevue,$$,Other,3.5,308,"10038 Main St, Bellevue, WA 98004",47.6103215,-122.2049316
,Indian,Caravan Kebab,$$,Other,4.5,289,,,
,American,Carillon Kitchen,$$,Other,3.5,54,"2240 Carillon Point, Kirkland, WA 98033",47.6563672,-122.2069423
,Italian,Carmine’s,$$$,Other,4,365,,,
,Mexican,Carniceria Michoacan,$$,Hidden Gem,4.5,11,"3815 196th St SW, Ste 112, Lynnwood, WA 98036",47.8217374,-122.2849631
Pinehurst,Mexican,Casa Del Mariachi,$$,Hidden Gem,5,46,"12327 Roosevelt Way NE, Seattle, WA 98125",,
,Mexican,Casa Oaxaca,$$,Other,4.5,132,"8402 Bowdoin Way, Edmonds, WA 98020",47.8062961,-122.3468147
,American,Cascades,n/a,Other,4,16,"20610 44th Ave W, Lynnwood, WA 98036",47.8113934,-122.2940757
,Pizza,Cascadia Pizza,$$,Hidden Gem,4.5,42,"22607 SE 216th Way, Maple Valley, WA 98038",47.4061949,-122.0383619
Capitol Hill,Italian,Cascina Spinasse,$$$,Other,4.5,1106,"1531 14th Ave, Seattle, WA 98122",47.6150906,-122.314436
South Lake Union,Barbeque,Cask & Trotter,$$,Other,4,625,"711 Westlake Ave N, Seattle, WA 98109",47.626077,-122.3390858
,Barbeque,Cask & Trotter - Lynnwood,$$,Other,4,315,"18411 Hwy 99, Lynnwood, WA 98037",47.8316394,-122.3053743
,Spanish,Castilla Restaurant and Tapas Bar,$$,Other,4,221,"504 Bellevue Square, Bellevue, WA 98004",47.6165048,-122.2019644
,Vietnamese,Cát Sang,$,Other,4,328,"20512 108th Ave SE, Kent, WA 98031",47.4184016,-122.1954101
,Barbeque,Cave Man Kitchen,$$,Other,3,287,"807 W Valley Hwy, Kent, WA 98032",47.3888923,-122.2488841
,American,Cedar + Elm,n/a,Other,3.5,62,"14477 Juanita Dr NE, Kenmore, WA 98028",47.7329357,-122.2572956
,American,Central Bar + Restaurant,$$,Other,3.5,185,"10475 NE 6th St, Bellevue, WA 98004",47.615369,-122.2006758
,Wine Tasting Room,Cepae,$$,Hidden Gem,4.5,66,"258 106th Ave NE, Bellevue, WA 98004",47.6122778,-122.1986287
Bitter Lake,Thai,Chada Thai Restaurant,$$,Other,4,224,"308 N 125th St, Seattle, WA 98133",,
,Indian,Chakra,n/a,Other,4,12,,,
Interbay,Cocktail Bars,Champagne Diner,$$,Other,4,82,"945 Elliott Ave W, Ste 201, Seattle, WA 98119",47.6272928,-122.369721
,Korean,ChangGo Restaurant,n/a,Other,3.5,5,"32610 Pacific Hwy S, Ste B3, Federal Way, WA 98003",,
,American,Chanterelle,$$,Other,3.5,271,,,
Downtown,American,Charlotte Restaurant & Lounge,n/a,Hidden Gem,4.5,74,"809 5th Ave, Seattle, WA 98104",47.6053713,-122.3309605
,Thai,Charm Gai,$$,Other,4.5,135,"18415 33rd Ave W, Lynnwood, WA 98037",47.8312885,-122.2771236
,Indian,Chawla Indian Cuisine,n/a,Other,4,56,,,
,Food Trucks,Chebogz Filipino Food Truck,$,Hidden Gem,4.5,66,,,
,Burgers,Chef Shalimar,n/a,Hidden Gem,4.5,4,"12041 124th Ave NE, Kirkland, WA 98034",47.7061258,-122.1771867
Chinatown,Szechuan,Chengdu Taste ____,n/a,Other,4,64,"504 5th Ave S, Ste 106, Seattle, WA 98104",47.5981035,-122.3274327
,Food Trucks,Chewaya Authentic Moroccan BBQ,$$,Other,4,31,,,
,Korean,Chi Mac Bellevue,$$,Other,3.5,92,"3640 Factoria Blvd SE, Ste E, Bellevue, WA 98006",47.5775241,-122.1674699
